SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
BRNL,Bharat Road Network Limited,18-Sep-17,INE727S01012
BROOKS,Brooks Laboratories Limited,05-Sep-11,INE650L01011
BSE,BSE Limited,03-Feb-17,INE118H01025
BSHSL,Bombay Super Hybrid Seeds Limited,28-Oct-20,INE032Z01020
BSL,BSL Limited,27-Jul-95,INE594B01012
BSOFT,BIRLASOFT LIMITED,24-Nov-99,INE836A01035
BTML,Bodhi Tree Multimedia Limited,15-Feb-23,INE0EEJ01015
BURNPUR,Burnpur Cement Limited,03-Jan-08,INE817H01014
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,28-Apr-14,INE295F01017
BVCL,Barak Valley Cements Limited,23-Nov-07,INE139I01011
BYKE,The Byke Hospitality Ltd,15-Apr-15,INE319B01014
CALSOFT,California Software Company Limited,28-Jun-00,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,20-Jan-15,INE052I01032
CAMPUS,Campus Activewear Limited,09-May-22,INE278Y01022
CAMS,Computer Age Management Services Limited,07-May-21,INE596I01012
CANBK,Canara Bank,23-Dec-02,INE476A01014
CANFINHOME,Can Fin Homes Limited,10-May-95,INE477A01020
CANTABIL,Cantabil Retail India Limited,12-Oct-10,INE068L01016
CAPACITE,Capacit'e Infraprojects Limited,25-Sep-17,INE264T01014
CAPLIPOINT,Caplin Point Laboratories Limited,23-Jun-14,INE475E01026
CAPTRUST,Capital Trust Limited,16-Jan-17,INE707C01018
CARBORUNIV,Carborundum Universal Limited,03-Apr-96,INE120A01034
CAREERP,Career Point Limited,06-Oct-10,INE521J01018
CARERATING,CARE Ratings Limited,26-Dec-12,INE752H01013
CARTRADE,Cartrade Tech Limited,20-Aug-21,INE290S01011
CARYSIL,CARYSIL LIMITED,14-Jan-21,INE482D01024
CASTROLIND,Castrol India Limited,14-Mar-14,INE172A01027
CCCL,Consolidated Construction Consortium Limited,15-Oct-07,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,03-Feb-15,INE652F01027
CCL,CCL Products (India) Limited,07-Jun-04,INE421D01022
CDSL,Central Depository Services (India) Limited,30-Jun-17,INE736A01011
CEATLTD,CEAT Limited,01-Feb-08,INE482A01020
CELEBRITY,Celebrity Fashions Limited,12-Jan-06,INE185H01016
CENTENKA,Century Enka Limited,10-May-95,INE485A01015
CENTEXT,Century Extrusions Limited,20-Jul-04,INE281A01026
CENTRALBK,Central Bank of India,21-Aug-07,INE483A01010
CENTRUM,Centrum Capital Limited,04-Apr-18,INE660C01027
CENTUM,Centum Electronics Limited,05-Oct-07,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,23-Mar-06,INE348B01021
CENTURYTEX,Century Textiles & Industries Limited,27-Jun-03,INE055A01016
CERA,Cera Sanitaryware Limited,02-Nov-07,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,26-Jun-13,INE345B01019
CESC,CESC Limited,08-Feb-95,INE486A01021
CGCL,Capri Global Capital Limited,29-Oct-10,INE180C01026
CGPOWER,CG Power and Industrial Solutions Limited,01-Mar-95,INE067A01029
CHALET,Chalet Hotels Limited,07-Feb-19,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,14-Jun-95,INE085A01013
CHEMBOND,Chembond Chemicals Ltd,20-Nov-19,INE995D01025
CHEMCON,Chemcon Speciality Chemicals Limited,01-Oct-20,INE03YM01018
CHEMFAB,Chemfab Alkalis Limited,25-Apr-18,INE783X01023
CHEMPLASTS,Chemplast Sanmar Limited,24-Aug-21,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,07-Jun-00,INE178A01016
CHEVIOT,Cheviot Company Limited,20-Jun-22,INE974B01016
CHOICEIN,Choice International Limited,08-Apr-22,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,15-May-96,INE121A01024
